Timestamp,Current_World_Population,Births_Today,Deaths_Today,Population_Growth_Today,Births_This_Year,Deaths_This_Year,Population_Growth_This_Year
6/12/2025 1:26,"8,228,331,727","21,903","10,321","11,582","58,773,753","27,694,468","31,079,286"
6/12/2025 1:28,"8,228,331,883","22,192","10,457","11,735","58,774,043","27,694,604","31,079,439"
6/12/2025 1:29,"8,228,332,029","22,476","10,591","11,885","58,774,326","27,694,738","31,079,588"
6/12/2025 1:30,"8,228,332,179","22,757","10,723","12,034","58,774,607","27,694,870","31,079,738"
6/12/2025 1:31,"8,228,332,327","23,037","10,855","12,182","58,774,887","27,695,002","31,079,886"
6/12/2025 1:32,"8,228,332,476","23,320","10,989","12,332","58,775,171","27,695,136","31,080,035"
6/12/2025 1:33,"8,228,332,626","23,602","11,121","12,481","58,775,452","27,695,269","31,080,183"
6/12/2025 1:34,"8,228,332,774","23,882","11,253","12,629","58,775,732","27,695,401","31,080,332"
6/12/2025 1:35,"8,228,332,929","24,174","11,391","12,783","58,776,024","27,695,538","31,080,487"
6/12/2025 1:37,"8,228,333,076","24,453","11,523","12,931","58,776,304","27,695,670","31,080,634"
6/12/2025 1:38,"8,228,333,231","24,741","11,658","13,083","58,776,591","27,695,805","31,080,786"
6/12/2025 1:39,"8,228,333,376","25,021","11,790","13,231","58,776,872","27,695,937","31,080,935"
6/12/2025 1:40,"8,228,333,523","25,300","11,922","13,378","58,777,150","27,696,069","31,081,082"
6/12/2025 1:41,"8,228,333,672","25,581","12,054","13,527","58,777,431","27,696,201","31,081,230"
6/12/2025 1:42,"8,228,333,824","25,864","12,187","13,677","58,777,714","27,696,334","31,081,380"
6/12/2025 1:43,"8,228,333,970","26,146","12,320","13,826","58,777,996","27,696,467","31,081,530"
6/12/2025 1:44,"8,228,334,122","26,429","12,453","13,976","58,778,279","27,696,601","31,081,678"
6/12/2025 1:46,"8,228,334,282","26,722","12,592","14,130","58,778,572","27,696,739","31,081,834"
6/12/2025 1:47,"8,228,334,431","27,011","12,728","14,284","58,778,862","27,696,875","31,081,987"
